Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,72,222.91666666666669,144.20833333333331,67.29166666666667,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,1004,8,0.00796812749003984,2,6,1004,5,0.0049800796812749,5,0
Quartile,72,225.625,145.29166666666666,66.08333333333333,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,1004,9,0.008964143426294821,2,7,1004,2,0.00199203187250996,1,1
Quartile,72,226.70833333333334,145.25,64.20833333333334,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,1004,13,0.012948207171314742,5,8,1004,6,0.00597609561752988,3,3
Quartile,72,227.33333333333331,146.625,65.79166666666666,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,1004,14,0.013944223107569721,8,6,1004,10,0.0099601593625498,3,7
Quartile,72,228.58333333333334,144.29166666666666,64.20833333333334,HFNL,142,4,0.028169014084507043,1,3,142,4,0.028169014084507043,3,1
,,,,,,1004,16,0.01593625498007968,4,12,1004,8,0.00796812749003984,7,1
Quartile,72,224.79166666666666,146.5,64.25,HFNL,142,2,0.014084507042253521,0,2,142,2,0.014084507042253521,2,0
,,,,,,1004,9,0.008964143426294821,4,5,1004,7,0.0069721115537848604,3,4
Quartile,72,227.20833333333331,141.91666666666669,66.33333333333334,HFNL,142,1,0.007042253521126761,1,0,142,1,0.007042253521126761,0,1
,,,,,,1004,11,0.010956175298804782,3,8,1004,5,0.0049800796812749,4,1
Quartile,72,224.5,144.08333333333331,67.04166666666666,HFNL,142,2,0.014084507042253521,0,2,142,1,0.007042253521126761,1,0
,,,,,,1004,11,0.010956175298804782,6,5,1004,7,0.0069721115537848604,4,3
Quartile,72,225.625,147,66.625,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,1004,11,0.010956175298804782,5,6,1004,8,0.00796812749003984,4,4
Quartile,72,229.5,143,65.25,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,1004,17,0.01693227091633466,3,14,1004,13,0.012948207171314742,10,3
Quartile,72,229.08333333333331,147.16666666666666,65.25,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,1004,15,0.014940239043824702,5,10,1004,5,0.0049800796812749,2,3
Quartile,72,223.79166666666669,145.875,66.08333333333333,HFNL,142,3,0.02112676056338028,2,1,142,2,0.014084507042253521,0,2
,,,,,,1004,11,0.010956175298804782,6,5,1004,5,0.0049800796812749,4,1
Quartile,72,231.91666666666669,145.125,63.375,HFNL,142,3,0.02112676056338028,0,3,142,2,0.014084507042253521,2,0
,,,,,,1004,11,0.010956175298804782,3,8,1004,5,0.0049800796812749,2,3
Quartile,72,226,147.08333333333331,63.208333333333336,HFNL,142,1,0.007042253521126761,0,1,142,1,0.007042253521126761,1,0
,,,,,,1004,18,0.017928286852589643,10,8,1004,13,0.012948207171314742,6,7
Quartile,72,228.29166666666666,144,67.625,HFNL,142,2,0.014084507042253521,1,1,142,2,0.014084507042253521,1,1
,,,,,,1004,12,0.01195219123505976,1,11,1004,11,0.010956175298804782,10,1
Quartile,72,221.08333333333331,143.5,65.70833333333334,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,1004,9,0.008964143426294821,7,2,1004,6,0.00597609561752988,2,4
