Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,71,228.5,154,73.25,HFNL,142,4,0.028169014084507043,2,2,142,4,0.028169014084507043,2,2
,,,,,,1004,20,0.0199203187250996,13,7,1004,12,0.01195219123505976,5,7
Quartile,71,234,152.95833333333334,67.04166666666666,HFNL,142,2,0.014084507042253521,1,1,142,1,0.007042253521126761,0,1
,,,,,,1004,24,0.02390438247011952,10,14,1004,19,0.018924302788844622,10,9
Quartile,71,235.5,150.5,75.54166666666666,HFNL,142,5,0.035211267605633804,1,4,142,3,0.02112676056338028,2,1
,,,,,,1004,23,0.022908366533864542,7,16,1004,15,0.014940239043824702,8,7
Quartile,71,225.70833333333331,152,68.54166666666667,HFNL,142,4,0.028169014084507043,3,1,142,3,0.02112676056338028,0,3
,,,,,,1004,17,0.01693227091633466,9,8,1004,10,0.0099601593625498,5,5
Quartile,71,234.58333333333334,148.79166666666666,71.70833333333334,HFNL,142,4,0.028169014084507043,0,4,142,3,0.02112676056338028,3,0
,,,,,,1004,26,0.025896414342629483,5,21,1004,18,0.017928286852589643,15,3
Quartile,71,234.45833333333337,151.29166666666669,71.04166666666667,HFNL,142,4,0.028169014084507043,3,1,142,4,0.028169014084507043,1,3
,,,,,,1004,36,0.035856573705179286,13,23,1004,20,0.0199203187250996,12,8
Quartile,71,231,152.125,71.58333333333333,HFNL,142,4,0.028169014084507043,3,1,142,4,0.028169014084507043,1,3
,,,,,,1004,18,0.017928286852589643,8,10,1004,14,0.013944223107569721,8,6
Quartile,71,235.91666666666666,153.66666666666666,68.875,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,1004,20,0.0199203187250996,12,8,1004,17,0.01693227091633466,6,11
Quartile,71,229.58333333333331,151.79166666666666,69.79166666666667,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,1004,17,0.01693227091633466,10,7,1004,11,0.010956175298804782,5,6
Quartile,71,232.70833333333334,155.5,70.58333333333334,HFNL,142,2,0.014084507042253521,1,1,142,1,0.007042253521126761,0,1
,,,,,,1004,23,0.022908366533864542,12,11,1004,18,0.017928286852589643,7,11
Quartile,71,237.5,153.625,71.54166666666666,HFNL,142,3,0.02112676056338028,2,1,142,3,0.02112676056338028,1,2
,,,,,,1004,21,0.02091633466135458,11,10,1004,15,0.014940239043824702,5,10
Quartile,71,230.41666666666666,151.5,72.375,HFNL,142,4,0.028169014084507043,2,2,142,2,0.014084507042253521,1,1
,,,,,,1004,23,0.022908366533864542,13,10,1004,15,0.014940239043824702,8,7
Quartile,71,233.70833333333331,151.29166666666666,69.54166666666666,HFNL,142,2,0.014084507042253521,0,2,142,2,0.014084507042253521,2,0
,,,,,,1004,28,0.027888446215139442,12,16,1004,18,0.017928286852589643,9,9
Quartile,71,231.70833333333331,150.20833333333334,72.33333333333334,HFNL,142,3,0.02112676056338028,1,2,142,3,0.02112676056338028,2,1
,,,,,,1004,25,0.0249003984063745,7,18,1004,22,0.021912350597609563,17,5
Quartile,71,234.58333333333334,153.83333333333334,70.58333333333333,HFNL,142,4,0.028169014084507043,1,3,142,2,0.014084507042253521,2,0
,,,,,,1004,21,0.02091633466135458,13,8,1004,15,0.014940239043824702,3,12
Quartile,71,231.20833333333334,147.91666666666669,66.29166666666667,HFNL,142,4,0.028169014084507043,2,2,142,4,0.028169014084507043,2,2
,,,,,,1004,22,0.021912350597609563,4,18,1004,16,0.01593625498007968,15,1
Quartile,71,231.875,151,72.5,HFNL,142,2,0.014084507042253521,0,2,142,2,0.014084507042253521,2,0
,,,,,,1004,18,0.017928286852589643,10,8,1004,13,0.012948207171314742,7,6
Quartile,71,235.5,152.70833333333331,73.41666666666667,HFNL,142,3,0.02112676056338028,0,3,142,2,0.014084507042253521,2,0
,,,,,,1004,25,0.0249003984063745,12,13,1004,18,0.017928286852589643,8,10
Quartile,71,231.04166666666666,150.79166666666666,71.79166666666666,HFNL,142,6,0.04225352112676056,3,3,142,5,0.035211267605633804,2,3
,,,,,,1004,22,0.021912350597609563,7,15,1004,18,0.017928286852589643,13,5
Quartile,71,231.08333333333331,153.79166666666669,69.83333333333334,HFNL,142,2,0.014084507042253521,0,2,142,1,0.007042253521126761,1,0
,,,,,,1004,21,0.02091633466135458,15,6,1004,14,0.013944223107569721,3,11
Quartile,71,233.70833333333331,152.58333333333331,70.45833333333334,HFNL,142,2,0.014084507042253521,1,1,142,2,0.014084507042253521,1,1
,,,,,,1004,28,0.027888446215139442,15,13,1004,20,0.0199203187250996,7,13
Quartile,71,236.79166666666669,152.5,69.33333333333334,HFNL,142,4,0.028169014084507043,2,2,142,3,0.02112676056338028,1,2
,,,,,,1004,20,0.0199203187250996,11,9,1004,17,0.01693227091633466,7,10
Quartile,71,232.58333333333331,153.5,70.04166666666667,HFNL,142,3,0.02112676056338028,2,1,142,3,0.02112676056338028,1,2
,,,,,,1004,20,0.0199203187250996,11,9,1004,15,0.014940239043824702,5,10
Quartile,71,232.20833333333331,150.41666666666669,73.45833333333334,HFNL,142,1,0.007042253521126761,1,0,142,1,0.007042253521126761,0,1
,,,,,,1004,24,0.02390438247011952,10,14,1004,18,0.017928286852589643,11,7
Quartile,71,228.5,147.29166666666669,69.25,HFNL,142,4,0.028169014084507043,1,3,142,1,0.007042253521126761,1,0
,,,,,,1004,26,0.025896414342629483,10,16,1004,20,0.0199203187250996,14,6
Quartile,71,226.70833333333334,149.20833333333334,72.25,HFNL,142,4,0.028169014084507043,3,1,142,4,0.028169014084507043,1,3
,,,,,,1004,19,0.018924302788844622,8,11,1004,17,0.01693227091633466,11,6
Quartile,71,233.375,151.79166666666666,70.70833333333334,HFNL,142,3,0.02112676056338028,1,2,142,1,0.007042253521126761,0,1
,,,,,,1004,31,0.030876494023904383,7,24,1004,21,0.02091633466135458,16,5
Quartile,71,232.41666666666666,155.25,71.875,HFNL,142,2,0.014084507042253521,1,1,142,2,0.014084507042253521,1,1
,,,,,,1004,19,0.018924302788844622,10,9,1004,16,0.01593625498007968,6,10
Quartile,71,232.875,153,70.20833333333334,HFNL,142,4,0.028169014084507043,4,0,142,2,0.014084507042253521,0,2
,,,,,,1004,15,0.014940239043824702,9,6,1004,12,0.01195219123505976,3,9
Quartile,71,230.16666666666666,154.20833333333334,72.58333333333333,HFNL,142,3,0.02112676056338028,1,2,142,1,0.007042253521126761,1,0
,,,,,,1004,16,0.01593625498007968,9,7,1004,12,0.01195219123505976,4,8
Quartile,71,233.08333333333331,148.70833333333334,70.08333333333334,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,1004,18,0.017928286852589643,2,16,1004,14,0.013944223107569721,12,2
Quartile,71,235.41666666666669,152.70833333333331,71,HFNL,142,3,0.02112676056338028,3,0,142,2,0.014084507042253521,0,2
,,,,,,1004,21,0.02091633466135458,11,10,1004,18,0.017928286852589643,8,10
Quartile,71,232.66666666666669,153.5,72.70833333333334,HFNL,142,3,0.02112676056338028,2,1,142,3,0.02112676056338028,1,2
,,,,,,1004,36,0.035856573705179286,14,22,1004,29,0.02888446215139442,17,12
Quartile,71,227.41666666666669,154.375,70.70833333333334,HFNL,142,2,0.014084507042253521,2,0,142,2,0.014084507042253521,0,2
,,,,,,1004,23,0.022908366533864542,16,7,1004,17,0.01693227091633466,6,11
Quartile,71,231.70833333333331,150.5,71.66666666666666,HFNL,142,3,0.02112676056338028,2,1,142,3,0.02112676056338028,1,2
,,,,,,1004,13,0.012948207171314742,6,7,1004,11,0.010956175298804782,5,6
Quartile,71,233.5,152.625,70.58333333333333,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,1004,23,0.022908366533864542,12,11,1004,18,0.017928286852589643,8,10
Quartile,71,230.5,156.08333333333331,74.58333333333333,HFNL,142,5,0.035211267605633804,3,2,142,3,0.02112676056338028,0,3
,,,,,,1004,19,0.018924302788844622,16,3,1004,15,0.014940239043824702,2,13
Quartile,71,229.79166666666666,152.79166666666666,72.75,HFNL,142,3,0.02112676056338028,0,3,142,3,0.02112676056338028,3,0
,,,,,,1004,24,0.02390438247011952,14,10,1004,14,0.013944223107569721,6,8
Quartile,71,229.79166666666669,153.20833333333331,72.125,HFNL,142,3,0.02112676056338028,3,0,142,2,0.014084507042253521,0,2
