Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,69,189.58333333333331,132.625,73.75,HNFL,142,32,0.22535211267605634,17,15,142,32,0.22535211267605634,15,17
,,,,,,1004,246,0.2450199203187251,120,126,1004,246,0.2450199203187251,126,120
Quartile,69,190.20833333333334,130.58333333333334,72.58333333333333,HNFL,142,32,0.22535211267605634,15,17,142,32,0.22535211267605634,17,15
,,,,,,1004,243,0.24203187250996017,132,111,1004,243,0.24203187250996017,111,132
Quartile,69,191.20833333333334,131.79166666666669,71.5,HNFL,142,39,0.2746478873239437,19,20,142,39,0.2746478873239437,20,19
,,,,,,1004,251,0.25,128,123,1004,251,0.25,123,128
Quartile,69,187.125,132.29166666666669,70.20833333333334,HNFL,142,35,0.24647887323943662,19,16,142,35,0.24647887323943662,16,19
,,,,,,1004,231,0.2300796812749004,116,115,1004,231,0.2300796812749004,115,116
Quartile,69,186.5,133.70833333333334,73.08333333333333,HNFL,142,32,0.22535211267605634,15,17,142,32,0.22535211267605634,17,15
,,,,,,1004,252,0.250996015936255,116,136,1004,252,0.250996015936255,136,116
Quartile,69,190.79166666666669,131.58333333333331,69.75,HNFL,142,31,0.21830985915492956,15,16,142,31,0.21830985915492956,16,15
,,,,,,1004,239,0.23804780876494025,121,118,1004,239,0.23804780876494025,118,121
Quartile,69,185.91666666666669,131.5,74.25,HNFL,142,38,0.2676056338028169,20,18,142,38,0.2676056338028169,18,20
,,,,,,1004,261,0.2599601593625498,135,126,1004,261,0.2599601593625498,126,135
Quartile,69,187.70833333333331,131.91666666666669,73.875,HNFL,142,35,0.24647887323943662,18,17,142,35,0.24647887323943662,17,18
,,,,,,1004,238,0.23705179282868527,120,118,1004,238,0.23705179282868527,118,120
Quartile,69,187,135,71.33333333333333,HNFL,142,37,0.2605633802816901,15,22,142,37,0.2605633802816901,22,15
,,,,,,1004,242,0.2410358565737052,102,140,1004,241,0.2400398406374502,140,101
Quartile,69,191.5,130.70833333333334,73,HNFL,142,32,0.22535211267605634,21,11,142,32,0.22535211267605634,11,21
,,,,,,1004,259,0.25796812749003983,142,117,1004,259,0.25796812749003983,117,142
Quartile,69,191.29166666666669,125,71.29166666666666,HNFL,142,30,0.2112676056338028,20,10,142,30,0.2112676056338028,10,20
,,,,,,1004,253,0.25199203187250996,177,76,1004,253,0.25199203187250996,76,177
Quartile,69,186.58333333333331,129.625,73.625,HNFL,142,31,0.21830985915492956,15,16,142,31,0.21830985915492956,16,15
,,,,,,1004,246,0.2450199203187251,144,102,1004,246,0.2450199203187251,102,144
Quartile,69,188.33333333333334,131.08333333333331,71.58333333333333,HNFL,142,39,0.2746478873239437,18,21,142,39,0.2746478873239437,21,18
,,,,,,1004,252,0.250996015936255,132,120,1004,252,0.250996015936255,120,132
Quartile,69,188.70833333333334,131.375,71.75,HNFL,142,35,0.24647887323943662,17,18,142,35,0.24647887323943662,18,17
,,,,,,1004,254,0.25298804780876494,130,124,1004,254,0.25298804780876494,124,130
Quartile,69,186.20833333333331,130.20833333333334,72.95833333333334,HNFL,142,42,0.29577464788732394,21,21,142,42,0.29577464788732394,21,21
,,,,,,1004,235,0.2340637450199203,117,118,1004,235,0.2340637450199203,118,117
Quartile,69,190.29166666666666,132.08333333333331,69.95833333333334,HNFL,142,40,0.28169014084507044,18,22,142,40,0.28169014084507044,22,18
,,,,,,1004,241,0.2400398406374502,108,133,1004,241,0.2400398406374502,133,108
Quartile,69,183.125,132.58333333333331,72.45833333333334,HNFL,142,42,0.29577464788732394,18,24,142,42,0.29577464788732394,24,18
,,,,,,1004,240,0.23904382470119523,116,124,1004,240,0.23904382470119523,124,116
Quartile,69,188.79166666666669,133,72.5,HNFL,142,31,0.21830985915492956,15,16,142,31,0.21830985915492956,16,15
,,,,,,1004,221,0.2201195219123506,104,117,1004,221,0.2201195219123506,117,104
Quartile,69,187.5,132.20833333333334,73.29166666666667,HNFL,142,36,0.2535211267605634,17,19,142,36,0.2535211267605634,19,17
,,,,,,1004,242,0.2410358565737052,123,119,1004,242,0.2410358565737052,119,123
Quartile,69,190.20833333333331,131,73.25,HNFL,142,36,0.2535211267605634,20,16,142,36,0.2535211267605634,16,20
,,,,,,1004,249,0.24800796812749004,133,116,1004,249,0.24800796812749004,116,133
Quartile,69,189.20833333333331,135.08333333333331,72.95833333333334,HNFL,142,35,0.24647887323943662,15,20,142,35,0.24647887323943662,20,15
,,,,,,1004,246,0.2450199203187251,91,155,1004,246,0.2450199203187251,155,91
Quartile,69,189.70833333333334,131.58333333333331,73.20833333333334,HNFL,142,39,0.2746478873239437,19,20,142,39,0.2746478873239437,20,19
,,,,,,1004,230,0.2290836653386454,120,110,1004,230,0.2290836653386454,110,120
Quartile,69,188.125,132.29166666666669,75.04166666666667,HNFL,142,34,0.23943661971830985,18,16,142,34,0.23943661971830985,16,18
,,,,,,1004,240,0.23904382470119523,121,119,1004,240,0.23904382470119523,119,121
Quartile,69,190.20833333333331,135.70833333333331,71.04166666666667,HNFL,142,35,0.24647887323943662,18,17,142,35,0.24647887323943662,17,18
,,,,,,1004,253,0.25199203187250996,115,138,1004,253,0.25199203187250996,138,115
Quartile,69,190.5,132.20833333333334,73.875,HNFL,142,39,0.2746478873239437,22,17,142,39,0.2746478873239437,17,22
,,,,,,1004,241,0.2400398406374502,113,128,1004,241,0.2400398406374502,128,113
Quartile,69,188,130.5,73.66666666666666,HNFL,142,35,0.24647887323943662,19,16,142,35,0.24647887323943662,16,19
,,,,,,1004,246,0.2450199203187251,133,113,1004,246,0.2450199203187251,113,133
Quartile,69,188.20833333333331,132.5,73.29166666666667,HNFL,142,34,0.23943661971830985,16,18,142,34,0.23943661971830985,18,16
,,,,,,1004,248,0.24701195219123506,133,115,1004,248,0.24701195219123506,115,133
Quartile,69,189.5,131.79166666666669,75,HNFL,142,37,0.2605633802816901,20,17,142,37,0.2605633802816901,17,20
,,,,,,1004,244,0.24302788844621515,125,119,1004,244,0.24302788844621515,119,125
Quartile,69,187.91666666666669,136.5,71.625,HNFL,142,38,0.2676056338028169,15,23,142,38,0.2676056338028169,23,15
,,,,,,1004,257,0.2559760956175299,94,163,1004,257,0.2559760956175299,163,94
Quartile,69,186.29166666666669,131.29166666666666,73.29166666666667,HNFL,142,38,0.2676056338028169,18,20,142,38,0.2676056338028169,20,18
,,,,,,1004,237,0.2360557768924303,115,122,1004,237,0.2360557768924303,122,115
Quartile,69,187.20833333333334,128.625,73.5,HNFL,142,36,0.2535211267605634,22,14,142,36,0.2535211267605634,14,22
,,,,,,1004,226,0.2250996015936255,140,86,1004,226,0.2250996015936255,86,140
Quartile,69,185.29166666666666,131.29166666666669,72.20833333333334,HNFL,142,37,0.2605633802816901,17,20,142,37,0.2605633802816901,20,17
,,,,,,1004,240,0.23904382470119523,123,117,1004,240,0.23904382470119523,117,123
Quartile,69,189,132.79166666666669,74.54166666666667,HNFL,142,37,0.2605633802816901,19,18,142,37,0.2605633802816901,18,19
,,,,,,1004,250,0.24900398406374502,121,129,1004,250,0.24900398406374502,129,121
Quartile,69,188.70833333333331,129.875,70.58333333333333,HNFL,142,29,0.20422535211267606,15,14,142,29,0.20422535211267606,14,15
,,,,,,1004,239,0.23804780876494025,126,113,1004,239,0.23804780876494025,113,126
Quartile,69,188,129.29166666666669,72.45833333333334,HNFL,142,34,0.23943661971830985,19,15,142,34,0.23943661971830985,15,19
,,,,,,1004,243,0.24203187250996017,137,106,1004,243,0.24203187250996017,106,137
Quartile,69,188.91666666666669,129.5,72.75,HNFL,142,38,0.2676056338028169,19,19,142,38,0.2676056338028169,19,19
,,,,,,1004,229,0.22808764940239043,131,98,1004,229,0.22808764940239043,98,131
Quartile,69,190.20833333333331,133.20833333333334,71.83333333333333,HNFL,142,32,0.22535211267605634,16,16,142,32,0.22535211267605634,16,16
,,,,,,1004,240,0.23904382470119523,112,128,1004,240,0.23904382470119523,128,112
Quartile,69,188.70833333333334,130.20833333333334,72.625,HNFL,142,36,0.2535211267605634,19,17,142,36,0.2535211267605634,17,19
,,,,,,1004,255,0.2539840637450199,139,116,1004,255,0.2539840637450199,116,139
Quartile,69,187.54166666666669,133.5,73.625,HNFL,142,38,0.2676056338028169,17,21,142,38,0.2676056338028169,21,17
,,,,,,1004,248,0.24701195219123506,113,135,1004,248,0.24701195219123506,135,113
Quartile,69,188.20833333333331,131.5,73.29166666666666,HNFL,142,38,0.2676056338028169,19,19,142,38,0.2676056338028169,19,19
,,,,,,1004,241,0.2400398406374502,124,117,1004,241,0.2400398406374502,117,124
Quartile,69,188.75,130.79166666666666,74.54166666666667,HNFL,142,35,0.24647887323943662,22,13,142,35,0.24647887323943662,13,22
,,,,,,1004,236,0.2350597609561753,119,117,1004,236,0.2350597609561753,117,119
Quartile,69,185.5,134.29166666666669,72.20833333333333,HNFL,142,38,0.2676056338028169,17,21,142,38,0.2676056338028169,21,17
,,,,,,1004,242,0.2410358565737052,106,136,1004,242,0.2410358565737052,136,106
Quartile,69,187.70833333333334,132.20833333333334,74.70833333333334,HNFL,142,42,0.29577464788732394,19,23,142,42,0.29577464788732394,23,19
,,,,,,1004,242,0.2410358565737052,114,128,1004,242,0.2410358565737052,128,114
Quartile,69,188.20833333333331,130.29166666666666,73.70833333333333,HNFL,142,37,0.2605633802816901,18,19,142,37,0.2605633802816901,19,18
,,,,,,1004,257,0.2559760956175299,135,122,1004,257,0.2559760956175299,122,135
Quartile,69,189.58333333333331,134,76.54166666666667,HNFL,142,40,0.28169014084507044,19,21,142,40,0.28169014084507044,21,19
,,,,,,1004,236,0.2350597609561753,103,133,1004,236,0.2350597609561753,133,103
Quartile,69,185.70833333333331,132.08333333333331,74,HNFL,142,37,0.2605633802816901,19,18,142,37,0.2605633802816901,18,19
,,,,,,1004,248,0.24701195219123506,125,123,1004,248,0.24701195219123506,123,125
Quartile,69,192.29166666666666,130.70833333333334,68.25,HNFL,142,32,0.22535211267605634,15,17,142,32,0.22535211267605634,17,15
,,,,,,1004,246,0.2450199203187251,134,112,1004,246,0.2450199203187251,112,134
Quartile,69,191,131.45833333333331,74.75,HNFL,142,32,0.22535211267605634,17,15,142,32,0.22535211267605634,15,17
,,,,,,1004,254,0.25298804780876494,132,122,1004,254,0.25298804780876494,122,132
Quartile,69,187.5,135.20833333333334,72.04166666666667,HNFL,142,41,0.2887323943661972,16,25,142,41,0.2887323943661972,25,16
,,,,,,1004,226,0.2250996015936255,95,131,1004,226,0.2250996015936255,131,95
Quartile,69,187.79166666666666,131.70833333333334,71.54166666666667,HNFL,142,35,0.24647887323943662,19,16,142,35,0.24647887323943662,16,19
,,,,,,1004,251,0.25,130,121,1004,252,0.250996015936255,122,130
Quartile,69,187.04166666666669,132,76.29166666666667,HNFL,142,36,0.2535211267605634,17,19,142,36,0.2535211267605634,19,17
,,,,,,1004,246,0.2450199203187251,127,119,1004,246,0.2450199203187251,119,127
Quartile,69,191.5,130,72.625,HNFL,142,36,0.2535211267605634,22,14,142,36,0.2535211267605634,14,22
,,,,,,1004,241,0.2400398406374502,132,109,1004,241,0.2400398406374502,109,132
Quartile,69,186.29166666666669,131.70833333333334,72.75,HNFL,142,37,0.2605633802816901,19,18,142,37,0.2605633802816901,18,19
,,,,,,1004,243,0.24203187250996017,117,126,1004,243,0.24203187250996017,126,117
Quartile,69,191.29166666666669,131.70833333333334,75.125,HNFL,142,37,0.2605633802816901,22,15,142,37,0.2605633802816901,15,22
,,,,,,1004,248,0.24701195219123506,123,125,1004,248,0.24701195219123506,125,123
Quartile,69,187.79166666666666,132.29166666666666,73.04166666666667,HNFL,142,34,0.23943661971830985,19,15,142,34,0.23943661971830985,15,19
,,,,,,1004,243,0.24203187250996017,119,124,1004,243,0.24203187250996017,124,119
Quartile,69,187.66666666666666,131.79166666666669,72.5,HNFL,142,35,0.24647887323943662,13,22,142,35,0.24647887323943662,22,13
,,,,,,1004,248,0.24701195219123506,126,122,1004,248,0.24701195219123506,122,126
Quartile,69,191.5,129.75,70.95833333333333,HNFL,142,33,0.2323943661971831,17,16,142,33,0.2323943661971831,16,17
,,,,,,1004,243,0.24203187250996017,125,118,1004,243,0.24203187250996017,118,125
Quartile,69,190.20833333333331,127.875,73.5,HNFL,142,35,0.24647887323943662,18,17,142,35,0.24647887323943662,17,18
,,,,,,1004,218,0.21713147410358566,131,87,1004,219,0.21812749003984064,87,132
Quartile,69,192,132.29166666666669,70.79166666666667,HNFL,142,35,0.24647887323943662,15,20,142,35,0.24647887323943662,20,15
,,,,,,1004,234,0.23306772908366533,110,124,1004,234,0.23306772908366533,124,110
Quartile,69,191,134.70833333333334,71.58333333333334,HNFL,142,30,0.2112676056338028,16,14,142,30,0.2112676056338028,14,16
,,,,,,1004,240,0.23904382470119523,103,137,1004,240,0.23904382470119523,137,103
