Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,62,198.70833333333334,136.54166666666666,76,HNFL,142,19,0.13380281690140844,9,10,142,54,0.38028169014084506,25,29
,,,,,,1004,98,0.09760956175298804,48,50,1004,314,0.31274900398406374,157,157
Quartile,62,196.91666666666669,132.29166666666669,73.20833333333333,HNFL,142,14,0.09859154929577464,7,7,142,39,0.2746478873239437,20,19
,,,,,,1004,94,0.09362549800796813,64,30,1004,294,0.29282868525896416,134,160
Quartile,62,196.66666666666669,137.41666666666669,75.25,HNFL,142,13,0.09154929577464789,6,7,142,45,0.31690140845070425,23,22
,,,,,,1004,101,0.10059760956175298,43,58,1004,332,0.33067729083665337,176,156
Quartile,62,197.5,137.91666666666669,75.58333333333334,HNFL,142,12,0.08450704225352113,7,5,142,44,0.30985915492957744,20,24
,,,,,,1004,101,0.10059760956175298,45,56,1004,323,0.32171314741035856,163,160
Quartile,62,203.5,135.41666666666669,73.54166666666667,HNFL,142,13,0.09154929577464789,7,6,142,44,0.30985915492957744,20,24
,,,,,,1004,90,0.08964143426294821,47,43,1004,307,0.3057768924302789,142,165
Quartile,62,199.79166666666666,136.70833333333334,72.5,HNFL,142,10,0.07042253521126761,6,4,142,43,0.3028169014084507,21,22
,,,,,,1004,112,0.11155378486055777,57,55,1004,310,0.30876494023904383,154,156
Quartile,62,200.20833333333334,135.29166666666669,74.58333333333334,HNFL,142,9,0.06338028169014084,3,6,142,43,0.3028169014084507,22,21
,,,,,,1004,102,0.10159362549800798,57,45,1004,321,0.3197211155378486,137,184
Quartile,62,202.20833333333331,132.45833333333331,73.16666666666666,HNFL,142,13,0.09154929577464789,6,7,142,40,0.28169014084507044,18,22
,,,,,,1004,93,0.09262948207171315,59,34,1004,314,0.31274900398406374,129,185
Quartile,62,198.875,134.08333333333331,75.45833333333334,HNFL,142,16,0.11267605633802817,8,8,142,45,0.31690140845070425,23,22
,,,,,,1004,104,0.10358565737051793,51,53,1004,312,0.3107569721115538,155,157
Quartile,62,195,139,73.16666666666666,HNFL,142,10,0.07042253521126761,6,4,142,30,0.2112676056338028,17,13
,,,,,,1004,105,0.10458167330677291,45,60,1004,327,0.3256972111553785,186,141
Quartile,62,197.125,132.91666666666669,72.04166666666667,HNFL,142,12,0.08450704225352113,6,6,142,41,0.2887323943661972,20,21
,,,,,,1004,97,0.09661354581673307,63,34,1004,305,0.30378486055776893,151,154
Quartile,62,199.375,139.29166666666669,72.54166666666666,HNFL,142,9,0.06338028169014084,6,3,142,35,0.24647887323943662,15,20
,,,,,,1004,93,0.09262948207171315,36,57,1004,307,0.3057768924302789,163,144
Quartile,62,197.83333333333331,139.33333333333331,71.79166666666666,HNFL,142,17,0.11971830985915492,9,8,142,44,0.30985915492957744,20,24
,,,,,,1004,107,0.10657370517928287,48,59,1004,313,0.31175298804780877,169,144
Quartile,62,198.58333333333331,137.5,74.70833333333334,HNFL,142,10,0.07042253521126761,4,6,142,38,0.2676056338028169,20,18
,,,,,,1004,88,0.08764940239043825,36,52,1004,287,0.2858565737051793,146,141
Quartile,62,200.91666666666669,135.5,70.58333333333334,HNFL,142,16,0.11267605633802817,8,8,142,51,0.3591549295774648,25,26
,,,,,,1004,104,0.10358565737051793,57,47,1004,329,0.32768924302788843,166,163
Quartile,62,197.16666666666666,133.20833333333331,74,HNFL,142,11,0.07746478873239436,7,4,142,42,0.29577464788732394,19,23
,,,,,,1004,102,0.10159362549800798,67,35,1004,313,0.31175298804780877,144,169
Quartile,62,191.79166666666666,138.58333333333331,73.45833333333334,HNFL,142,10,0.07042253521126761,4,6,142,40,0.28169014084507044,21,19
,,,,,,1004,96,0.09561752988047809,41,55,1004,315,0.3137450199203187,187,128
Quartile,62,200.91666666666669,132.79166666666666,74.25,HNFL,142,12,0.08450704225352113,6,6,142,44,0.30985915492957744,21,23
,,,,,,1004,97,0.09661354581673307,67,30,1004,308,0.30677290836653387,117,191
Quartile,62,198.25,135.375,73.25,HNFL,142,10,0.07042253521126761,6,4,142,46,0.323943661971831,22,24
,,,,,,1004,105,0.10458167330677291,58,47,1004,339,0.3376494023904382,161,178
Quartile,62,194.45833333333334,134.91666666666669,72.33333333333334,HNFL,142,12,0.08450704225352113,7,5,142,51,0.3591549295774648,26,25
,,,,,,1004,94,0.09362549800796813,51,43,1004,302,0.300796812749004,165,137
Quartile,62,200.20833333333331,135,68.5,HNFL,142,11,0.07746478873239436,5,6,142,43,0.3028169014084507,23,20
,,,,,,1004,108,0.10756972111553785,60,48,1004,322,0.3207171314741036,164,158
Quartile,62,198.08333333333331,134.29166666666669,72.58333333333334,HNFL,142,18,0.1267605633802817,9,9,142,44,0.30985915492957744,22,22
,,,,,,1004,97,0.09661354581673307,51,46,1004,311,0.3097609561752988,166,145
Quartile,62,197.41666666666669,138.20833333333334,72.75,HNFL,142,13,0.09154929577464789,5,8,142,36,0.2535211267605634,19,17
,,,,,,1004,96,0.09561752988047809,36,60,1004,296,0.2948207171314741,167,129
Quartile,62,202.29166666666669,139.5,75.70833333333334,HNFL,142,10,0.07042253521126761,4,6,142,39,0.2746478873239437,20,19
,,,,,,1004,88,0.08764940239043825,35,53,1004,293,0.2918326693227092,136,157
Quartile,62,199.70833333333331,139.29166666666666,75.29166666666666,HNFL,142,13,0.09154929577464789,5,8,142,41,0.2887323943661972,22,19
,,,,,,1004,103,0.10258964143426295,40,63,1004,322,0.3207171314741036,159,163
Quartile,62,201.04166666666669,132.79166666666669,74.25,HNFL,142,15,0.1056338028169014,8,7,142,48,0.3380281690140845,22,26
,,,,,,1004,102,0.10159362549800798,69,33,1004,311,0.3097609561752988,120,191
Quartile,62,204.08333333333334,133.125,71.79166666666666,HNFL,142,15,0.1056338028169014,7,8,142,44,0.30985915492957744,23,21
,,,,,,319,39,0.12225705329153605,24,15,319,104,0.32601880877742945,45,59
Quartile,62,197.91666666666669,135.20833333333334,73.54166666666666,HNFL,142,20,0.14084507042253522,10,10,142,55,0.3873239436619718,28,27
,,,,,,1004,102,0.10159362549800798,52,50,1004,311,0.3097609561752988,153,158
Quartile,62,200.5,136,74.95833333333334,HNFL,142,14,0.09859154929577464,7,7,142,41,0.2887323943661972,19,22
,,,,,,1004,87,0.08665338645418327,45,42,1004,318,0.31673306772908366,149,169
Quartile,62,196,136.41666666666669,75.75,HNFL,142,13,0.09154929577464789,6,7,142,40,0.28169014084507044,21,19
,,,,,,1004,90,0.08964143426294821,43,47,1004,326,0.3247011952191235,165,161
Quartile,62,204.125,140.08333333333331,73.08333333333333,HNFL,142,15,0.1056338028169014,7,8,142,46,0.323943661971831,22,24
,,,,,,1004,109,0.10856573705179283,33,76,1004,339,0.3376494023904382,179,160
Quartile,62,202,136.16666666666669,73.54166666666666,HNFL,142,18,0.1267605633802817,9,9,142,43,0.3028169014084507,23,20
,,,,,,1004,93,0.09262948207171315,47,46,1004,305,0.30378486055776893,141,164
Quartile,62,196,134.79166666666669,76.125,HNFL,142,12,0.08450704225352113,6,6,142,44,0.30985915492957744,21,23
,,,,,,1004,91,0.09063745019920319,56,35,1004,302,0.300796812749004,142,160
Quartile,62,198.41666666666669,137.75,73.29166666666667,HNFL,142,17,0.11971830985915492,9,8,142,46,0.323943661971831,23,23
,,,,,,1004,93,0.09262948207171315,44,49,1004,321,0.3197211155378486,167,154
Quartile,62,199.70833333333331,135.83333333333331,70.25,HNFL,142,12,0.08450704225352113,8,4,142,43,0.3028169014084507,18,25
,,,,,,1004,94,0.09362549800796813,52,42,1004,293,0.2918326693227092,152,141
Quartile,62,205,131.375,73.25,HNFL,142,13,0.09154929577464789,7,6,142,34,0.23943661971830985,17,17
,,,,,,1004,112,0.11155378486055777,77,35,1004,324,0.32270916334661354,132,192
Quartile,62,195,137,70.41666666666666,HNFL,142,13,0.09154929577464789,7,6,142,44,0.30985915492957744,23,21
,,,,,,1004,92,0.09163346613545817,44,48,1004,305,0.30378486055776893,172,133
Quartile,62,199.29166666666666,138.625,76.54166666666666,HNFL,142,12,0.08450704225352113,6,6,142,42,0.29577464788732394,20,22
,,,,,,1004,100,0.099601593625498,45,55,1004,317,0.3157370517928287,161,156
Quartile,62,192.45833333333331,136.79166666666669,76.875,HNFL,142,10,0.07042253521126761,7,3,142,40,0.28169014084507044,18,22
,,,,,,1004,93,0.09262948207171315,49,44,1004,292,0.2908366533864542,144,148
Quartile,62,200.70833333333334,136.70833333333331,71.66666666666667,HNFL,142,14,0.09859154929577464,7,7,142,43,0.3028169014084507,21,22
,,,,,,1004,105,0.10458167330677291,52,53,1004,323,0.32171314741035856,156,167
Quartile,62,198.95833333333334,134,72.75,HNFL,142,14,0.09859154929577464,7,7,142,46,0.323943661971831,22,24
,,,,,,1004,98,0.09760956175298804,56,42,1004,307,0.3057768924302789,142,165
Quartile,62,202.70833333333334,135.70833333333334,71.83333333333334,HNFL,142,10,0.07042253521126761,5,5,142,38,0.2676056338028169,19,19
,,,,,,1004,95,0.0946215139442231,52,43,1004,323,0.32171314741035856,164,159
Quartile,62,196.08333333333331,139.41666666666669,77.95833333333334,HNFL,142,16,0.11267605633802817,8,8,142,45,0.31690140845070425,22,23
,,,,,,1004,108,0.10756972111553785,42,66,1004,320,0.3187250996015936,163,157
Quartile,62,205.33333333333334,132.375,72.58333333333334,HNFL,142,17,0.11971830985915492,9,8,142,44,0.30985915492957744,20,24
,,,,,,1004,106,0.10557768924302789,63,43,1004,319,0.31772908366533864,137,182
Quartile,62,198.29166666666666,139.20833333333334,72.83333333333333,HNFL,142,12,0.08450704225352113,5,7,142,44,0.30985915492957744,23,21
,,,,,,1004,100,0.099601593625498,44,56,1004,323,0.32171314741035856,173,150
Quartile,62,197.08333333333331,138.70833333333331,75.70833333333334,HNFL,142,13,0.09154929577464789,6,7,142,36,0.2535211267605634,16,20
,,,,,,1004,102,0.10159362549800798,40,62,1004,319,0.31772908366533864,169,150
Quartile,62,195.5,138.5,70.29166666666666,HNFL,142,20,0.14084507042253522,10,10,142,50,0.352112676056338,24,26
,,,,,,1004,95,0.0946215139442231,40,55,1004,312,0.3107569721115538,190,122
Quartile,62,201.91666666666669,137,74,HNFL,142,18,0.1267605633802817,9,9,142,43,0.3028169014084507,20,23
,,,,,,1004,103,0.10258964143426295,50,53,1004,307,0.3057768924302789,142,165
Quartile,62,196.375,130.5,73.04166666666666,HNFL,142,10,0.07042253521126761,4,6,142,43,0.3028169014084507,21,22
,,,,,,1004,100,0.099601593625498,70,30,1004,313,0.31175298804780877,148,165
Quartile,62,196.45833333333331,133.58333333333334,70.16666666666667,HNFL,142,15,0.1056338028169014,8,7,142,45,0.31690140845070425,21,24
,,,,,,1004,92,0.09163346613545817,54,38,1004,294,0.29282868525896416,158,136
Quartile,62,201.79166666666666,132.79166666666666,72.75,HNFL,142,10,0.07042253521126761,6,4,142,42,0.29577464788732394,20,22
,,,,,,1004,92,0.09163346613545817,58,34,1004,303,0.301792828685259,130,173
Quartile,62,200.125,135.875,73.70833333333333,HNFL,142,15,0.1056338028169014,7,8,142,38,0.2676056338028169,18,20
,,,,,,1004,98,0.09760956175298804,55,43,1004,308,0.30677290836653387,146,162
Quartile,62,201.875,136.83333333333334,70.33333333333334,HNFL,142,14,0.09859154929577464,6,8,142,47,0.33098591549295775,24,23
,,,,,,1004,89,0.08864541832669323,44,45,1004,289,0.28784860557768926,146,143
Quartile,62,197.79166666666666,132.79166666666669,70.91666666666666,HNFL,142,13,0.09154929577464789,7,6,142,40,0.28169014084507044,20,20
,,,,,,1004,107,0.10657370517928287,69,38,1004,328,0.32669322709163345,165,163
Quartile,62,200.625,138,73.5,HNFL,142,14,0.09859154929577464,6,8,142,40,0.28169014084507044,22,18
,,,,,,1004,98,0.09760956175298804,41,57,1004,292,0.2908366533864542,153,139
Quartile,62,197.83333333333334,133.20833333333334,74.20833333333334,HNFL,142,17,0.11971830985915492,8,9,142,52,0.36619718309859156,26,26
,,,,,,1004,98,0.09760956175298804,49,49,1004,302,0.300796812749004,150,152
Quartile,62,198.33333333333331,135.29166666666666,71.75,HNFL,142,14,0.09859154929577464,7,7,142,45,0.31690140845070425,22,23
,,,,,,1004,96,0.09561752988047809,50,46,1004,314,0.31274900398406374,160,154
Quartile,62,203.91666666666669,136.5,73.08333333333333,HNFL,142,12,0.08450704225352113,8,4,142,42,0.29577464788732394,19,23
,,,,,,1004,97,0.09661354581673307,48,49,1004,309,0.30776892430278885,142,167
Quartile,62,198.70833333333331,138.70833333333334,74.08333333333334,HNFL,142,18,0.1267605633802817,9,9,142,51,0.3591549295774648,25,26
,,,,,,1004,90,0.08964143426294821,36,54,1004,295,0.29382470119521914,155,140
Quartile,62,203.375,132.875,69.875,HNFL,142,18,0.1267605633802817,9,9,142,50,0.352112676056338,25,25
,,,,,,1004,103,0.10258964143426295,65,38,1004,329,0.32768924302788843,154,175
Quartile,62,202.20833333333331,138.41666666666669,73.08333333333333,HNFL,142,14,0.09859154929577464,7,7,142,41,0.2887323943661972,19,22
,,,,,,1004,95,0.0946215139442231,38,57,1004,294,0.29282868525896416,150,144
Quartile,62,200.875,137.79166666666669,72.08333333333333,HNFL,142,10,0.07042253521126761,4,6,142,47,0.33098591549295775,24,23
,,,,,,1004,94,0.09362549800796813,43,51,1004,299,0.29780876494023906,150,149
Quartile,62,199.625,138.20833333333331,69.29166666666666,HNFL,142,10,0.07042253521126761,5,5,142,44,0.30985915492957744,21,23
,,,,,,1004,103,0.10258964143426295,48,55,1004,299,0.29780876494023906,171,128
Quartile,62,194.58333333333331,133.5,72.41666666666667,HNFL,142,9,0.06338028169014084,5,4,142,34,0.23943661971830985,18,16
,,,,,,1004,104,0.10358565737051793,56,48,1004,311,0.3097609561752988,160,151
Quartile,62,199.625,135.5,73.04166666666667,HNFL,142,13,0.09154929577464789,5,8,142,39,0.2746478873239437,20,19
,,,,,,1004,99,0.09860557768924302,50,49,1004,305,0.30378486055776893,146,159
Quartile,62,194.20833333333331,139.91666666666669,71.25,HNFL,142,13,0.09154929577464789,6,7,142,41,0.2887323943661972,21,20
,,,,,,1004,97,0.09661354581673307,40,57,1004,297,0.2958167330677291,173,124
Quartile,62,199.79166666666666,138.41666666666669,73.16666666666666,HNFL,142,16,0.11267605633802817,7,9,142,42,0.29577464788732394,23,19
,,,,,,1004,101,0.10059760956175298,46,55,1004,329,0.32768924302788843,166,163
Quartile,62,199.04166666666669,129.5,73.70833333333333,HNFL,142,13,0.09154929577464789,7,6,142,45,0.31690140845070425,22,23
,,,,,,1004,104,0.10358565737051793,73,31,1004,302,0.300796812749004,121,181
Quartile,62,203,135,74.25,HNFL,142,13,0.09154929577464789,7,6,142,41,0.2887323943661972,19,22
