Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,69,178.70833333333331,121.5,63.5,HFNL,142,13,0.09154929577464789,7,6,142,13,0.09154929577464789,6,7
,,,,,,1004,98,0.09760956175298804,56,42,1004,98,0.09760956175298804,42,56
Quartile,69,179.125,121,62,HFNL,142,7,0.04929577464788732,4,3,142,7,0.04929577464788732,3,4
,,,,,,1004,110,0.10956175298804781,60,50,1004,109,0.10856573705179283,49,60
Quartile,69,178,120.41666666666667,62.541666666666664,HFNL,142,12,0.08450704225352113,6,6,142,11,0.07746478873239436,5,6
,,,,,,1004,105,0.10458167330677291,49,56,1004,104,0.10358565737051793,55,49
Quartile,69,182.79166666666669,121.5,62.5,HFNL,142,11,0.07746478873239436,6,5,142,11,0.07746478873239436,5,6
,,,,,,1004,112,0.11155378486055777,55,57,1004,111,0.11055776892430279,56,55
Quartile,69,171.08333333333331,117.79166666666666,60.58333333333333,HFNL,142,11,0.07746478873239436,3,8,142,11,0.07746478873239436,8,3
,,,,,,1004,96,0.09561752988047809,35,61,1004,96,0.09561752988047809,61,35
Quartile,69,176.5,116.70833333333334,62.208333333333336,HFNL,142,15,0.1056338028169014,7,8,142,15,0.1056338028169014,8,7
,,,,,,1004,105,0.10458167330677291,31,74,1004,105,0.10458167330677291,74,31
Quartile,69,181.08333333333331,120.58333333333333,61.541666666666664,HFNL,142,16,0.11267605633802817,8,8,142,16,0.11267605633802817,8,8
,,,,,,1004,113,0.11254980079681275,57,56,1004,112,0.11155378486055777,55,57
Quartile,69,181.125,121.79166666666666,62.25,HFNL,142,11,0.07746478873239436,7,4,142,11,0.07746478873239436,4,7
,,,,,,1004,107,0.10657370517928287,53,54,1004,107,0.10657370517928287,54,53
Quartile,69,177.5,121.33333333333334,63.25,HFNL,142,17,0.11971830985915492,9,8,142,17,0.11971830985915492,8,9
,,,,,,1004,120,0.11952191235059761,62,58,1004,120,0.11952191235059761,58,62
Quartile,69,175.58333333333331,119,62,HFNL,142,11,0.07746478873239436,5,6,142,11,0.07746478873239436,6,5
,,,,,,1004,114,0.11354581673306773,46,68,1004,114,0.11354581673306773,68,46
Quartile,69,176.20833333333331,121,62.75,HFNL,142,18,0.1267605633802817,9,9,142,18,0.1267605633802817,9,9
,,,,,,1004,111,0.11055776892430279,60,51,1004,110,0.10956175298804781,50,60
Quartile,69,176.41666666666669,121.70833333333334,61.541666666666664,HFNL,142,13,0.09154929577464789,7,6,142,13,0.09154929577464789,6,7
,,,,,,1004,110,0.10956175298804781,64,46,1004,110,0.10956175298804781,46,64
Quartile,69,175.08333333333331,121,60.916666666666664,HFNL,142,16,0.11267605633802817,7,9,142,16,0.11267605633802817,9,7
,,,,,,1004,105,0.10458167330677291,50,55,1004,105,0.10458167330677291,55,50
Quartile,69,179.20833333333331,120.70833333333334,63.5,HFNL,142,19,0.13380281690140844,9,10,142,19,0.13380281690140844,10,9
,,,,,,1004,108,0.10756972111553785,51,57,1004,108,0.10756972111553785,57,51
Quartile,69,180.79166666666669,124.58333333333334,63.208333333333336,HFNL,142,18,0.1267605633802817,9,9,142,18,0.1267605633802817,9,9
,,,,,,1004,113,0.11254980079681275,82,31,1004,113,0.11254980079681275,31,82
Quartile,69,178.91666666666669,119.79166666666666,60.166666666666664,HFNL,142,17,0.11971830985915492,8,9,142,17,0.11971830985915492,9,8
,,,,,,1004,112,0.11155378486055777,49,63,1004,111,0.11055776892430279,62,49
Quartile,69,175.70833333333331,120.5,63.208333333333336,HFNL,142,19,0.13380281690140844,10,9,142,18,0.1267605633802817,9,9
,,,,,,1004,103,0.10258964143426295,50,53,1004,101,0.10059760956175298,52,49
Quartile,69,179,119.875,64.375,HFNL,142,14,0.09859154929577464,7,7,142,14,0.09859154929577464,7,7
,,,,,,1004,115,0.1145418326693227,52,63,1004,113,0.11254980079681275,62,51
Quartile,69,180.08333333333331,122.58333333333334,63,HFNL,142,14,0.09859154929577464,7,7,142,14,0.09859154929577464,7,7
,,,,,,1004,97,0.09661354581673307,54,43,1004,96,0.09561752988047809,42,54
Quartile,69,177.41666666666669,124.91666666666667,62.41666666666667,HFNL,142,20,0.14084507042253522,9,11,142,20,0.14084507042253522,11,9
,,,,,,1004,122,0.12151394422310757,84,38,1004,122,0.12151394422310757,38,84
Quartile,69,174.79166666666669,123,62,HFNL,142,17,0.11971830985915492,8,9,142,17,0.11971830985915492,9,8
,,,,,,1004,109,0.10856573705179283,65,44,1004,109,0.10856573705179283,44,65
Quartile,69,178.20833333333334,120.5,59.20833333333333,HFNL,142,13,0.09154929577464789,7,6,142,13,0.09154929577464789,6,7
,,,,,,1004,118,0.11752988047808766,61,57,1004,116,0.11553784860557768,56,60
Quartile,69,178.29166666666669,119.41666666666667,59.625,HFNL,142,15,0.1056338028169014,8,7,142,15,0.1056338028169014,7,8
,,,,,,1004,100,0.099601593625498,44,56,1004,100,0.099601593625498,56,44
Quartile,69,178,123.70833333333334,64.5,HFNL,142,16,0.11267605633802817,8,8,142,16,0.11267605633802817,8,8
,,,,,,1004,125,0.12450199203187251,76,49,1004,125,0.12450199203187251,49,76
Quartile,69,175.33333333333334,116,61.91666666666667,HFNL,142,16,0.11267605633802817,7,9,142,15,0.1056338028169014,8,7
,,,,,,1004,103,0.10258964143426295,25,78,1004,103,0.10258964143426295,78,25
Quartile,69,182.58333333333331,120.29166666666666,60.125,HFNL,142,16,0.11267605633802817,8,8,142,16,0.11267605633802817,8,8
,,,,,,1004,111,0.11055776892430279,51,60,1004,111,0.11055776892430279,60,51
Quartile,69,180,119.20833333333334,62.708333333333336,HFNL,142,8,0.056338028169014086,4,4,142,8,0.056338028169014086,4,4
,,,,,,1004,105,0.10458167330677291,46,59,1004,105,0.10458167330677291,59,46
Quartile,69,179.58333333333331,121.79166666666666,62.708333333333336,HFNL,142,15,0.1056338028169014,8,7,142,15,0.1056338028169014,7,8
,,,,,,1004,108,0.10756972111553785,64,44,1004,108,0.10756972111553785,44,64
Quartile,69,176.20833333333334,120.04166666666667,63.208333333333336,HFNL,142,16,0.11267605633802817,9,7,142,15,0.1056338028169014,6,9
,,,,,,1004,96,0.09561752988047809,42,54,1004,96,0.09561752988047809,54,42
Quartile,69,178.79166666666666,118.20833333333334,61.79166666666667,HFNL,142,13,0.09154929577464789,6,7,142,13,0.09154929577464789,7,6
,,,,,,1004,114,0.11354581673306773,46,68,1004,114,0.11354581673306773,68,46
Quartile,69,178.66666666666666,122.5,63.208333333333336,HFNL,142,12,0.08450704225352113,7,5,142,12,0.08450704225352113,5,7
,,,,,,1004,110,0.10956175298804781,63,47,1004,109,0.10856573705179283,46,63
Quartile,69,175.41666666666669,121.20833333333334,64.79166666666667,HFNL,142,15,0.1056338028169014,8,7,142,15,0.1056338028169014,7,8
,,,,,,1004,119,0.11852589641434264,61,58,1004,119,0.11852589641434264,58,61
Quartile,69,178.20833333333331,120.29166666666666,66.25,HFNL,142,19,0.13380281690140844,10,9,142,19,0.13380281690140844,9,10
,,,,,,1004,106,0.10557768924302789,51,55,1004,106,0.10557768924302789,55,51
Quartile,69,180,118.79166666666666,60.25,HFNL,142,11,0.07746478873239436,4,7,142,11,0.07746478873239436,7,4
,,,,,,1004,107,0.10657370517928287,40,67,1004,107,0.10657370517928287,67,40
Quartile,69,178.875,123,62.75,HFNL,142,14,0.09859154929577464,6,8,142,13,0.09154929577464789,8,5
,,,,,,1004,111,0.11055776892430279,57,54,1004,111,0.11055776892430279,54,57
Quartile,69,178.20833333333334,124.58333333333334,60.25,HFNL,142,15,0.1056338028169014,7,8,142,15,0.1056338028169014,8,7
,,,,,,1004,117,0.11653386454183266,78,39,1004,116,0.11553784860557768,38,78
Quartile,69,176.08333333333331,118.33333333333334,64.66666666666667,HFNL,142,18,0.1267605633802817,9,9,142,18,0.1267605633802817,9,9
,,,,,,1004,117,0.11653386454183266,46,71,1004,117,0.11653386454183266,71,46
