Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,70,193.5,132.29166666666669,69.25,HNFL,142,25,0.176056338028169,14,11,142,25,0.176056338028169,11,14
,,,,,,1004,165,0.1643426294820717,83,82,1004,165,0.1643426294820717,82,83
Quartile,70,189.375,132.79166666666669,72.125,HNFL,142,22,0.15492957746478872,11,11,142,22,0.15492957746478872,11,11
,,,,,,1004,183,0.18227091633466136,79,104,1004,184,0.18326693227091634,105,79
Quartile,70,192.33333333333331,132.08333333333334,69.95833333333334,HNFL,142,24,0.16901408450704225,10,14,142,24,0.16901408450704225,14,10
,,,,,,1004,188,0.18725099601593626,89,99,1004,188,0.18725099601593626,99,89
Quartile,70,196.29166666666666,131.70833333333334,71.75,HNFL,142,28,0.19718309859154928,15,13,142,28,0.19718309859154928,13,15
,,,,,,1004,173,0.17231075697211157,91,82,1004,174,0.17330677290836655,82,92
Quartile,70,189.41666666666669,130.79166666666669,67.75,HNFL,142,26,0.18309859154929578,13,13,142,26,0.18309859154929578,13,13
,,,,,,1004,172,0.17131474103585656,85,87,1004,172,0.17131474103585656,87,85
Quartile,70,187.91666666666669,135.04166666666666,73.41666666666667,HNFL,142,28,0.19718309859154928,9,19,142,28,0.19718309859154928,19,9
,,,,,,1004,181,0.1802788844621514,71,110,1004,181,0.1802788844621514,110,71
Quartile,70,193.16666666666666,131.875,67.91666666666667,HNFL,142,29,0.20422535211267606,14,15,142,29,0.20422535211267606,15,14
,,,,,,1004,172,0.17131474103585656,86,86,1004,172,0.17131474103585656,86,86
Quartile,70,193.58333333333331,133.29166666666669,71.54166666666667,HNFL,142,21,0.14788732394366197,9,12,142,21,0.14788732394366197,12,9
,,,,,,1004,190,0.1892430278884462,89,101,1004,190,0.1892430278884462,101,89
Quartile,70,191.79166666666669,134,69.25,HNFL,142,23,0.1619718309859155,11,12,142,23,0.1619718309859155,12,11
,,,,,,1004,171,0.17031872509960158,75,96,1004,171,0.17031872509960158,96,75
Quartile,70,186.70833333333334,131.875,68.33333333333334,HNFL,142,24,0.16901408450704225,10,14,142,24,0.16901408450704225,14,10
,,,,,,1004,182,0.18127490039840638,102,80,1004,182,0.18127490039840638,80,102
Quartile,70,192.875,131.625,73.20833333333334,HNFL,142,22,0.15492957746478872,12,10,142,22,0.15492957746478872,10,12
,,,,,,1004,168,0.16733067729083664,83,85,1004,168,0.16733067729083664,85,83
Quartile,70,191.625,131.83333333333334,73.29166666666667,HNFL,142,27,0.19014084507042253,15,12,142,28,0.19718309859154928,12,16
,,,,,,1004,169,0.16832669322709162,89,80,1004,170,0.1693227091633466,80,90
Quartile,70,195.08333333333331,132.20833333333334,71.95833333333334,HNFL,142,25,0.176056338028169,13,12,142,25,0.176056338028169,12,13
,,,,,,1004,178,0.17729083665338646,90,88,1004,178,0.17729083665338646,88,90
Quartile,70,194.875,133.70833333333334,67.95833333333334,HNFL,142,30,0.2112676056338028,15,15,142,30,0.2112676056338028,15,15
,,,,,,1004,175,0.17430278884462153,74,101,1004,176,0.1752988047808765,101,75
Quartile,70,191.41666666666669,130,68,HNFL,142,24,0.16901408450704225,13,11,142,24,0.16901408450704225,11,13
,,,,,,1004,169,0.16832669322709162,102,67,1004,169,0.16832669322709162,67,102
Quartile,70,191,132.20833333333334,73.66666666666667,HNFL,142,28,0.19718309859154928,15,13,142,28,0.19718309859154928,13,15
,,,,,,1004,163,0.16235059760956175,79,84,1004,163,0.16235059760956175,84,79
Quartile,70,193.5,133.5,68.20833333333334,HNFL,142,30,0.2112676056338028,15,15,142,30,0.2112676056338028,15,15
,,,,,,1004,175,0.17430278884462153,79,96,1004,175,0.17430278884462153,96,79
Quartile,70,191,129.5,68,HNFL,142,23,0.1619718309859155,12,11,142,23,0.1619718309859155,11,12
,,,,,,1004,177,0.17629482071713148,105,72,1004,177,0.17629482071713148,72,105
Quartile,70,188.91666666666669,134,69.75,HNFL,142,28,0.19718309859154928,15,13,142,28,0.19718309859154928,13,15
,,,,,,1004,167,0.16633466135458166,75,92,1004,167,0.16633466135458166,92,75
Quartile,70,192.91666666666669,129.875,69.25,HNFL,142,24,0.16901408450704225,10,14,142,24,0.16901408450704225,14,10
,,,,,,1004,169,0.16832669322709162,101,68,1004,169,0.16832669322709162,68,101
Quartile,70,189.79166666666669,127.5,71.33333333333333,HNFL,142,28,0.19718309859154928,16,12,142,28,0.19718309859154928,12,16
,,,,,,1004,160,0.1593625498007968,113,47,1004,160,0.1593625498007968,47,113
Quartile,70,197.20833333333331,132.79166666666669,70,HNFL,142,24,0.16901408450704225,12,12,142,24,0.16901408450704225,12,12
,,,,,,1004,169,0.16832669322709162,77,92,1004,170,0.1693227091633466,92,78
Quartile,70,192.375,133,69.75,HNFL,142,22,0.15492957746478872,11,11,142,22,0.15492957746478872,11,11
,,,,,,1004,165,0.1643426294820717,84,81,1004,165,0.1643426294820717,81,84
Quartile,70,190.79166666666666,133.70833333333334,70.08333333333333,HNFL,142,30,0.2112676056338028,15,15,142,30,0.2112676056338028,15,15
,,,,,,1004,173,0.17231075697211157,69,104,1004,173,0.17231075697211157,104,69
Quartile,70,188,131,70.75,HNFL,142,30,0.2112676056338028,16,14,142,30,0.2112676056338028,14,16
,,,,,,1004,192,0.19123505976095617,110,82,1004,192,0.19123505976095617,82,110
Quartile,70,189.70833333333331,130.20833333333334,71.20833333333334,HNFL,142,22,0.15492957746478872,11,11,142,22,0.15492957746478872,11,11
,,,,,,1004,171,0.17031872509960158,99,72,1004,171,0.17031872509960158,72,99
Quartile,70,188.79166666666669,128.875,71.08333333333333,HNFL,142,25,0.176056338028169,11,14,142,25,0.176056338028169,14,11
,,,,,,1004,175,0.17430278884462153,117,58,1004,175,0.17430278884462153,58,117
