Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),error_count(far),BER_(far),0->1_(far),1->0_(far)
Quartile,63,229,139.5,51.041666666666664,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,0,12,998,0,0,0,0
Quartile,63,225.25,135.79166666666666,52.79166666666667,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,4,0.004008016032064128,0,4,998,0,0,0,0
Quartile,63,225,137,54.541666666666664,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,3,5,998,0,0,0,0
Quartile,63,229.41666666666669,139,55.25,HFNL,142,2,0.014084507042253521,0,2,142,0,0,0,0
,,,,,,998,11,0.011022044088176353,0,11,998,0,0,0,0
Quartile,63,227,139.29166666666666,52.25,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,6,0.006012024048096192,1,5,998,0,0,0,0
Quartile,63,220.5,135,52,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,7,3,998,1,0.001002004008016032,0,1
Quartile,63,223.79166666666666,140.5,52.25,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,6,0.006012024048096192,3,3,998,0,0,0,0
Quartile,63,224.375,137.66666666666666,50.708333333333336,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,4,0.004008016032064128,1,3,998,0,0,0,0
Quartile,63,223.70833333333331,139.29166666666666,51.91666666666667,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,998,5,0.00501002004008016,3,2,998,0,0,0,0
Quartile,63,221.41666666666669,141.41666666666666,53,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,998,4,0.004008016032064128,2,2,998,0,0,0,0
Quartile,63,229.66666666666669,137.08333333333331,55.41666666666667,HFNL,142,4,0.028169014084507043,2,2,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,0,10,998,0,0,0,0
Quartile,63,226.20833333333334,138.41666666666669,52.458333333333336,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,2,10,998,0,0,0,0
Quartile,63,226,136.20833333333331,56.708333333333336,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,4,0.004008016032064128,1,3,998,0,0,0,0
Quartile,63,221.54166666666669,139.08333333333331,52.833333333333336,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,7,0.0070140280561122245,3,4,998,1,0.001002004008016032,0,1
Quartile,63,220.20833333333334,140.79166666666666,54.79166666666667,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,5,0.00501002004008016,2,3,998,0,0,0,0
Quartile,63,223,132.625,53,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,998,7,0.0070140280561122245,3,4,998,0,0,0,0
Quartile,63,226.70833333333331,136.79166666666666,55.79166666666667,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,2,7,998,1,0.001002004008016032,0,1
Quartile,63,224.70833333333331,137.20833333333331,50.958333333333336,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,4,6,998,0,0,0,0
Quartile,63,222.08333333333331,141,50.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,4,0.004008016032064128,3,1,998,0,0,0,0
Quartile,63,223.91666666666669,139.08333333333331,53.333333333333336,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,11,0.011022044088176353,6,5,998,2,0.002004008016032064,1,1
Quartile,63,224.91666666666669,141.08333333333331,54.75,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,5,5,998,0,0,0,0
Quartile,63,222.91666666666669,137,55.041666666666664,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,5,4,998,0,0,0,0
Quartile,63,222.70833333333331,140.5,53.29166666666667,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,5,4,998,0,0,0,0
Quartile,63,228.58333333333331,143.375,54.208333333333336,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,4,6,998,0,0,0,0
Quartile,63,222.41666666666669,139.20833333333331,56.25,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,998,4,0.004008016032064128,1,3,998,0,0,0,0
Quartile,63,227.20833333333334,136.58333333333331,53.25,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,3,7,998,0,0,0,0
Quartile,63,223.79166666666666,137.29166666666666,54.25,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,2,6,998,0,0,0,0
Quartile,63,223.58333333333331,142.41666666666669,54.208333333333336,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,5,0.00501002004008016,4,1,998,0,0,0,0
Quartile,63,223.70833333333334,140.45833333333334,52.75,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,6,0.006012024048096192,2,4,998,0,0,0,0
Quartile,63,225.29166666666669,132.20833333333331,53.25,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,11,0.011022044088176353,3,8,998,0,0,0,0
Quartile,63,220.04166666666666,137.20833333333331,56.708333333333336,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,11,0.011022044088176353,4,7,998,1,0.001002004008016032,1,0
Quartile,63,222.5,135.70833333333331,54.29166666666667,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,3,5,998,0,0,0,0
Quartile,63,229.20833333333331,138.20833333333334,52.041666666666664,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,2,10,998,1,0.001002004008016032,1,0
Quartile,63,220.29166666666669,138.70833333333331,54.25,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,9,3,998,1,0.001002004008016032,0,1
Quartile,63,223.70833333333331,135.20833333333334,54.125,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,7,5,998,0,0,0,0
Quartile,63,221,137.79166666666666,55.666666666666664,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,6,0.006012024048096192,3,3,998,0,0,0,0
Quartile,63,222.29166666666669,134.70833333333331,57.29166666666667,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,7,0.0070140280561122245,4,3,998,1,0.001002004008016032,1,0
Quartile,63,224.20833333333331,140.625,54.125,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,4,5,998,1,0.001002004008016032,0,1
Quartile,63,220.79166666666669,144.29166666666666,53.708333333333336,HFNL,142,2,0.014084507042253521,2,0,142,1,0.007042253521126761,0,1
,,,,,,998,5,0.00501002004008016,5,0,998,1,0.001002004008016032,0,1
Quartile,63,225.5,135,54,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,6,0.006012024048096192,2,4,998,0,0,0,0
Quartile,63,216.79166666666666,140.875,53.083333333333336,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,11,0.011022044088176353,8,3,998,0,0,0,0
Quartile,63,224.70833333333334,139.66666666666666,50.333333333333336,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,5,0.00501002004008016,1,4,998,0,0,0,0
Quartile,63,228.95833333333331,136.5,54.708333333333336,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,2,6,998,0,0,0,0
Quartile,63,224.20833333333331,140,54.79166666666667,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,5,0.00501002004008016,0,5,998,0,0,0,0
Quartile,63,227.33333333333334,136.58333333333331,54.708333333333336,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,1,8,998,0,0,0,0
Quartile,63,225.79166666666666,138.20833333333331,52.208333333333336,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,3,6,998,1,0.001002004008016032,0,1
Quartile,63,229.5,137.58333333333334,55.75,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,11,0.011022044088176353,1,10,998,0,0,0,0
Quartile,63,222.08333333333331,139.16666666666666,54.708333333333336,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,6,6,998,0,0,0,0
Quartile,63,223.5,138.58333333333331,55.208333333333336,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,4,0.004008016032064128,2,2,998,0,0,0,0
Quartile,63,225.5,141,53.25,HFNL,142,3,0.02112676056338028,2,1,142,1,0.007042253521126761,0,1
,,,,,,998,4,0.004008016032064128,2,2,998,0,0,0,0
Quartile,63,225.91666666666669,139.70833333333331,52.541666666666664,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,5,0.00501002004008016,2,3,998,0,0,0,0
Quartile,63,221.20833333333331,140.70833333333334,55.708333333333336,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,7,0.0070140280561122245,4,3,998,0,0,0,0
Quartile,63,224.375,141.75,50.5,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,3,5,998,0,0,0,0
Quartile,63,222.29166666666669,137.58333333333331,55,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,4,4,998,0,0,0,0
Quartile,63,225.04166666666669,133.70833333333331,52.625,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,4,0.004008016032064128,0,4,998,1,0.001002004008016032,1,0
Quartile,63,226.70833333333331,140.33333333333334,51.833333333333336,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,7,0.0070140280561122245,2,5,998,0,0,0,0
Quartile,63,224.375,137.58333333333331,51.291666666666664,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,7,0.0070140280561122245,3,4,998,0,0,0,0
Quartile,63,224.29166666666669,138.20833333333331,53.958333333333336,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,6,0.006012024048096192,1,5,998,0,0,0,0
Quartile,63,225.25,139.95833333333331,52.5,HFNL,142,2,0.014084507042253521,0,2,142,0,0,0,0
,,,,,,998,4,0.004008016032064128,1,3,998,0,0,0,0
Quartile,63,228.5,136.91666666666669,55.708333333333336,HFNL,142,4,0.028169014084507043,0,4,142,0,0,0,0
,,,,,,998,4,0.004008016032064128,1,3,998,0,0,0,0
Quartile,63,223,137.70833333333334,52.5,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,5,0.00501002004008016,5,0,998,0,0,0,0
Quartile,63,228.125,140.33333333333334,53,HFNL,142,2,0.014084507042253521,0,2,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,1,7,998,1,0.001002004008016032,0,1
Quartile,63,222.83333333333331,139.58333333333331,54.29166666666667,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,4,0.004008016032064128,3,1,998,0,0,0,0
Quartile,63,226.70833333333331,138.5,50.29166666666667,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,4,0.004008016032064128,1,3,998,0,0,0,0
Quartile,63,228.5,139.29166666666666,55.29166666666667,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,5,0.00501002004008016,0,5,998,0,0,0,0
Quartile,63,226.375,136.91666666666666,53.58333333333333,HFNL,142,2,0.014084507042253521,0,2,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,1,7,998,0,0,0,0
Quartile,63,226.29166666666666,138,53.333333333333336,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,1,7,998,0,0,0,0
Quartile,63,220.41666666666669,139,53.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,6,3,998,0,0,0,0
Quartile,63,223.20833333333331,135.29166666666666,50.58333333333333,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,2,0.002004008016032064,1,1,998,1,0.001002004008016032,0,1
Quartile,63,224.5,138.29166666666666,55.041666666666664,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,3,5,998,1,0.001002004008016032,0,1
Quartile,63,223.91666666666669,141.5,52.208333333333336,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,6,0.006012024048096192,3,3,998,0,0,0,0
Quartile,63,222.20833333333331,139.20833333333331,53,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,7,0.0070140280561122245,3,4,998,0,0,0,0
Quartile,63,220.20833333333334,139,53.79166666666667,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,5,0.00501002004008016,4,1,998,0,0,0,0
Quartile,63,220.91666666666669,134.70833333333331,51.708333333333336,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,6,0.006012024048096192,5,1,998,0,0,0,0
Quartile,63,223,136.70833333333334,54.25,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,4,0.004008016032064128,3,1,998,0,0,0,0
Quartile,63,225.5,138.79166666666666,51.125,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,6,0.006012024048096192,2,4,998,0,0,0,0
Quartile,63,225.375,137.79166666666666,52.75,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,6,0.006012024048096192,3,3,998,0,0,0,0
Quartile,63,222.20833333333334,141.20833333333331,51.041666666666664,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,998,7,0.0070140280561122245,5,2,998,0,0,0,0
Quartile,63,222.58333333333331,140.29166666666666,52.75,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,6,2,998,0,0,0,0
Quartile,63,224.70833333333334,139.625,52.958333333333336,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,4,6,998,0,0,0,0
Quartile,63,222.20833333333334,139.29166666666666,54.75,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,998,3,0.003006012024048096,0,3,998,0,0,0,0
Quartile,63,224.08333333333331,136.91666666666669,54,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,3,6,998,0,0,0,0
Quartile,63,223.29166666666669,135.125,56.541666666666664,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,3,5,998,0,0,0,0
Quartile,63,225.79166666666666,134.79166666666666,54.75,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,7,0.0070140280561122245,1,6,998,0,0,0,0
Quartile,63,222,135.04166666666666,57,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,4,6,998,1,0.001002004008016032,1,0
Quartile,63,224.625,140.95833333333334,51.708333333333336,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,4,0.004008016032064128,1,3,998,0,0,0,0
Quartile,63,221.20833333333331,137.5,52.70833333333333,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,4,0.004008016032064128,3,1,998,0,0,0,0
Quartile,63,221.125,138.20833333333331,53.25,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,5,0.00501002004008016,3,2,998,0,0,0,0
Quartile,63,222.70833333333334,139,52.666666666666664,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,2,8,998,0,0,0,0
Quartile,63,219.5,137.79166666666666,53.166666666666664,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,8,4,998,2,0.002004008016032064,1,1
Quartile,63,226.08333333333331,140,54,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,5,0.00501002004008016,0,5,998,0,0,0,0
Quartile,63,226.375,138.125,55,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,998,5,0.00501002004008016,1,4,998,0,0,0,0
Quartile,63,225.29166666666669,139.29166666666666,55.25,HFNL,142,2,0.014084507042253521,0,2,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,3,5,998,0,0,0,0
Quartile,63,222.5,138.70833333333334,53.458333333333336,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,998,3,0.003006012024048096,0,3,998,0,0,0,0
Quartile,63,223.70833333333331,140.20833333333331,54.29166666666667,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,7,0.0070140280561122245,5,2,998,0,0,0,0
Quartile,63,227.79166666666666,135.29166666666666,53.541666666666664,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,1,9,998,1,0.001002004008016032,1,0
Quartile,63,225,138.79166666666666,53.708333333333336,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,3,6,998,0,0,0,0
Quartile,63,222.04166666666669,137,53.208333333333336,HFNL,142,3,0.02112676056338028,0,3,142,0,0,0,0
,,,,,,998,4,0.004008016032064128,1,3,998,0,0,0,0
Quartile,63,220.5,137.79166666666666,53.166666666666664,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,7,3,998,0,0,0,0
Quartile,63,220.08333333333331,137.79166666666666,54.541666666666664,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,4,0.004008016032064128,2,2,998,0,0,0,0
Quartile,63,223.20833333333331,140.79166666666669,51.20833333333333,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,11,0.011022044088176353,5,6,998,0,0,0,0
Quartile,63,224.20833333333334,138.5,52.833333333333336,HFNL,142,2,0.014084507042253521,0,2,142,0,0,0,0
,,,,,,998,13,0.013026052104208416,3,10,998,0,0,0,0
Quartile,63,224.70833333333334,135.58333333333331,54.41666666666667,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,4,6,998,0,0,0,0
Quartile,63,224.5,135.58333333333331,49.79166666666667,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,6,3,998,0,0,0,0
Quartile,63,224.20833333333331,137.91666666666669,54.041666666666664,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,998,7,0.0070140280561122245,1,6,998,1,0.001002004008016032,1,0
Quartile,63,222.83333333333334,140.79166666666666,54.25,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,5,4,998,0,0,0,0
Quartile,63,226.5,139.125,53.75,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,2,8,998,0,0,0,0
Quartile,63,223.83333333333334,138.33333333333334,56.04166666666667,HFNL,142,3,0.02112676056338028,0,3,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,4,8,998,1,0.001002004008016032,1,0
Quartile,63,227.66666666666666,137.5,55.958333333333336,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,7,0.0070140280561122245,0,7,998,0,0,0,0
Quartile,63,219.875,141,56.29166666666667,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,5,0.00501002004008016,3,2,998,0,0,0,0
Quartile,63,221.5,139.79166666666666,54.125,HFNL,142,1,0.007042253521126761,0,1,142,0,0,0,0
,,,,,,998,7,0.0070140280561122245,5,2,998,1,0.001002004008016032,0,1
Quartile,63,219,138,52.25,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,7,1,998,0,0,0,0
Quartile,63,222.58333333333331,135.625,54.208333333333336,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,5,4,998,1,0.001002004008016032,1,0
Quartile,63,222.625,138.875,54,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
