Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),bit amount, error_count(far),BER_(far),0->1_(far),1->0_(far)
MinMax,61,186,127,47.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,9,3,998,3,0.003006012024048096,0,3
MinMax,61,196,114,43.5,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,998,22,0.022044088176352707,1,21,998,2,0.002004008016032064,2,0
MinMax,61,190,114,54,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,3,7,998,0,0,0,0
MinMax,61,181.5,117,45.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,10,2,998,2,0.002004008016032064,1,1
MinMax,61,182,115,49,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,5,3,998,1,0.001002004008016032,1,0
MinMax,61,182,115.5,42,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,5,0.00501002004008016,3,2,998,1,0.001002004008016032,1,0
MinMax,61,185,111,47,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,17,0.017034068136272545,6,11,998,4,0.004008016032064128,4,0
MinMax,61,183.5,117.5,50.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,7,3,998,0,0,0,0
MinMax,61,193.5,108.5,48.5,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,998,19,0.01903807615230461,1,18,998,4,0.004008016032064128,4,0
MinMax,61,188,122,50.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,6,0.006012024048096192,5,1,998,2,0.002004008016032064,0,2
MinMax,61,188,118,50.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,6,6,998,1,0.001002004008016032,0,1
MinMax,61,189.5,121,48.5,HFNL,142,4,0.028169014084507043,2,2,142,0,0,0,0
,,,,,,998,18,0.018036072144288578,7,11,998,1,0.001002004008016032,0,1
MinMax,61,180.5,114.5,45.5,HFNL,142,4,0.028169014084507043,3,1,142,0,0,0,0
,,,,,,998,24,0.02404809619238477,17,7,998,4,0.004008016032064128,3,1
MinMax,61,182.5,116,45.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,13,0.013026052104208416,9,4,998,2,0.002004008016032064,1,1
MinMax,61,180,110,47.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,7,5,998,5,0.00501002004008016,5,0
MinMax,61,186.5,120.5,44,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,4,5,998,3,0.003006012024048096,1,2
MinMax,61,188.5,116,47.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,14,0.014028056112224449,3,11,998,1,0.001002004008016032,0,1
MinMax,61,193,113,44.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,21,0.021042084168336674,0,21,998,3,0.003006012024048096,3,0
MinMax,61,186.5,114,47,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,6,0.006012024048096192,0,6,998,1,0.001002004008016032,1,0
MinMax,61,180.5,116.5,48.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,8,4,998,1,0.001002004008016032,1,0
MinMax,61,182.5,122.5,53,HFNL,142,4,0.028169014084507043,2,2,142,2,0.014084507042253521,1,1
,,,,,,998,12,0.012024048096192385,10,2,998,2,0.002004008016032064,0,2
MinMax,61,190.5,120,48,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,0,9,998,0,0,0,0
MinMax,61,184.5,106.5,54,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,998,15,0.01503006012024048,7,8,998,7,0.0070140280561122245,7,0
MinMax,61,184.5,110.5,46.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,4,8,998,3,0.003006012024048096,3,0
MinMax,61,183.5,116.5,45,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,6,6,998,2,0.002004008016032064,1,1
MinMax,61,181.5,116,44,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,11,0.011022044088176353,9,2,998,0,0,0,0
